node ID: 2646_hyneg, ground truth SMILE: C1=CC(=CC=C1CCO)O
smiles: C1=CC=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)OC(O)O, s:  0.01273
smiles: C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3CO)O)O, s:  0.00753
smiles: C1=CC(=C(C=C1CC2=COC3=C(C2=O)C=CC(=C3)O)O)O, s:  0.00567
smiles: COC1=CC(=CC(=C1)O)C2=COC3=C(C2=O)C=CC(=C3)O, s:  0.00494
smiles: COC1=CC(=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O, s:  0.00480
smiles: COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O, s:  0.00478
smiles: COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O, s:  0.00478
smiles: COC1=CC(=C(C=C1)O)C2=COC3=C(C2=O)C=CC(=C3)O, s:  0.00472
node ID: 7393_sedi, ground truth SMILE: CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
top 10 test cadidates: 
smiles: CCCCOC(=O)CCCCC(=O)OC1=CC=CC=C1, s:  0.00431
smiles: CCCCOC(=O)CCCC(=O)OCC1=CC=CC=C1, s:  0.00380
smiles: CCCCOC(=O)CC(CC)OC(=O)C1=CC=CC=C1, s:  0.00367
smiles: CCCCOC(=O)C(CCC)OC(=O)C1=CC=CC=C1, s:  0.00354
smiles: CC(C)(C)C(=O)OCCCCOC(=O)C1=CC=CC=C1, s:  0.00329
smiles: C1=CC=C(C=C1)C(=O)OCCCCCCCCC(=O)O, s:  0.00321
smiles: CCOC(=O)C(C)(C)CCCOC(=O)C1=CC=CC=C1, s:  0.00317
smiles: CCCCOC(=O)CCC(=O)OCCC1=CC=CC=C1, s:  0.00299
smiles: CCCCOC(=O)CCC(C)OC(=O)C1=CC=CC=C1, s:  0.00293
smiles: CCCCCOC(=O)CCC(=O)OCC1=CC=CC=C1, s:  0.00275
node ID: 6473_cj, ground truth SMILE: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
top 10 test cadidates: 
smiles: CC(C)(C)C1=CC(=C(C(=C1O)C=O)O)C(C)(C)C, s:  0.00886
smiles: CC(C)(C)OC1=CC(=CC(=C1)C=O)OC(C)(C)C, s:  0.00737
smiles: CC(C)(C)C1=CC(=C(C(=C1O)C(C)(C)C)C=O)O, s:  0.00724
smiles: CC(C)(C)C1=C(C(=CC(=C1)C=O)C(C)(C)CO)O, s:  0.00714
smiles: CC(C)(C)C1=CC(=C(C(=C1C=O)O)O)C(C)(C)C, s:  0.00660
smiles: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OC=O, s:  0.00533
smiles: CC(C)(C)C1=C(C(=C(C(=C1)C=O)O)O)C(C)(C)C, s:  0.00504
smiles: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O, s:  0.00489
smiles: CC(C)(C)C1=CC(=C(C(=C1)OC=O)O)C(C)(C)C, s:  0.00340
smiles: CC(C)(C)C1=C(C(=CC(=C1)C(=O)C(C)(C)C)O)O, s:  0.00306
